Date,active_power[W],kWh
2016-01-01 00:15,2358.47,0.589616272
2016-01-01 00:30,469.79,0.117447098
2016-01-01 00:45,241.63,0.060408363
2016-01-01 01:00,205.98,0.051495293
2016-01-01 01:15,195.94,0.048983978
2016-01-01 01:30,161.54,0.040386154
2016-01-01 01:45,249.29,0.062321461
2016-01-01 02:00,284.23,0.071056274
2016-01-01 02:15,236.64,0.059159431
2016-01-01 02:30,193.17,0.048291325
2016-01-01 02:45,353.57,0.088392479
2016-01-01 03:00,169.42,0.042354027
2016-01-01 03:15,258.96,0.06473912
2016-01-01 03:30,446.72,0.111680786
2016-01-01 03:45,2333.19,0.583298279
2016-01-01 04:00,195.73,0.048932129
2016-01-01 04:15,143.71,0.03592683
2016-01-01 04:30,200.19,0.050047852
2016-01-01 04:45,159.96,0.039989868
2016-01-01 05:00,118.67,0.029668407
2016-01-01 05:15,136.58,0.034144775
2016-01-01 05:30,151.28,0.037819576
2016-01-01 05:45,198.33,0.049583424
2016-01-01 06:00,230.41,0.05760323
2016-01-01 06:15,137.91,0.034478539
2016-01-01 06:30,118.41,0.029601572
2016-01-01 06:45,108.82,0.027205688
2016-01-01 07:00,254.88,0.063719139
2016-01-01 07:15,231.30,0.057825779
2016-01-01 07:30,188.99,0.047246372
2016-01-01 07:45,172.53,0.043132568
2016-01-01 08:00,132.69,0.033171333
2016-01-01 08:15,218.58,0.054644669
2016-01-01 08:30,205.09,0.051271416
2016-01-01 08:45,176.45,0.044112579
2016-01-01 09:00,308.48,0.077119362
2016-01-01 09:15,334.96,0.083740547
2016-01-01 09:30,331.50,0.082874565
2016-01-01 09:45,2388.71,0.597177673
2016-01-01 10:00,416.88,0.104220703
2016-01-01 10:15,150.74,0.037684849
2016-01-01 10:30,145.74,0.036435997
2016-01-01 10:45,171.87,0.042966606
2016-01-01 11:00,201.00,0.050249161
2016-01-01 11:15,221.47,0.055367237
2016-01-01 11:30,177.06,0.044264961
2016-01-01 11:45,140.22,0.035054531
2016-01-01 12:00,365.21,0.091302605
2016-01-01 12:15,420.29,0.105073494
2016-01-01 12:30,377.95,0.09448674
2016-01-01 12:45,331.63,0.082908035
2016-01-01 13:00,216.05,0.054011406
2016-01-01 13:15,139.26,0.03481451
2016-01-01 13:30,260.95,0.065237343
2016-01-01 13:45,368.61,0.092153122
2016-01-01 14:00,179.40,0.044849533
2016-01-01 14:15,180.40,0.045099819
2016-01-01 14:30,255.71,0.063927856
2016-01-01 14:45,239.27,0.059818119
2016-01-01 15:00,157.10,0.039273991
2016-01-01 15:15,192.09,0.048023411
2016-01-01 15:30,236.48,0.059120636
2016-01-01 15:45,333.80,0.083449997
2016-01-01 16:00,355.95,0.088986725
2016-01-01 16:15,2409.94,0.602485352
2016-01-01 16:30,308.02,0.077005051
2016-01-01 16:45,252.52,0.063129681
2016-01-01 17:00,351.07,0.087767456
2016-01-01 17:15,369.07,0.092267014
2016-01-01 17:30,2296.70,0.574174683
2016-01-01 17:45,318.56,0.07964006
2016-01-01 18:00,551.25,0.13781311
2016-01-01 18:15,449.70,0.112425201
2016-01-01 18:30,551.57,0.137892426
2016-01-01 18:45,336.62,0.084154572
2016-01-01 19:00,217.18,0.054294678
2016-01-01 19:15,306.04,0.076509445
2016-01-01 19:30,281.57,0.070391342
2016-01-01 19:45,285.60,0.071399338
2016-01-01 20:00,466.55,0.116636658
2016-01-01 20:15,226.28,0.056568832
2016-01-01 20:30,520.33,0.130082504
2016-01-01 20:45,518.45,0.129613708
2016-01-01 21:00,483.80,0.12095118
2016-01-01 21:15,239.30,0.05982489
2016-01-01 21:30,224.67,0.056167629
2016-01-01 21:45,294.45,0.073611992
2016-01-01 22:00,195.06,0.04876503
2016-01-01 22:15,233.98,0.058494064
2016-01-01 22:30,233.38,0.058345993
2016-01-01 22:45,318.28,0.079571106
2016-01-01 23:00,278.23,0.069558105
2016-01-01 23:15,236.26,0.059065609
2016-01-01 23:30,366.82,0.091706123
2016-01-01 23:45,225.02,0.05625486
2016-01-02 00:00,344.58,0.086145508
2016-01-02 00:15,352.76,0.088188911
2016-01-02 00:30,174.84,0.043709892
2016-01-02 00:45,169.24,0.042310081
2016-01-02 01:00,174.58,0.043644936
2016-01-02 01:15,255.34,0.063834576
2016-01-02 01:30,214.66,0.053664623
2016-01-02 01:45,140.53,0.035133564
2016-01-02 02:00,149.90,0.037474728
2016-01-02 02:15,233.27,0.058317436
2016-01-02 02:30,243.29,0.060821365
2016-01-02 02:45,173.21,0.043301826
2016-01-02 03:00,173.55,0.043388062
2016-01-02 03:15,171.17,0.042793137
2016-01-02 03:30,226.02,0.056504982
2016-01-02 03:45,215.67,0.053916679
2016-01-02 04:00,142.39,0.035598679
2016-01-02 04:15,106.05,0.026512077
2016-01-02 04:30,176.17,0.044042435
2016-01-02 04:45,258.68,0.064669724
2016-01-02 05:00,292.76,0.073188995
2016-01-02 05:15,172.49,0.04312146
2016-01-02 05:30,136.18,0.034044701
2016-01-02 05:45,127.04,0.031761215
2016-01-02 06:00,223.64,0.055910324
2016-01-02 06:15,215.24,0.053810276
2016-01-02 06:30,128.13,0.032033356
2016-01-02 06:45,170.88,0.042719498
2016-01-02 07:00,175.55,0.043886921
2016-01-02 07:15,260.66,0.065166161
2016-01-02 07:30,266.54,0.066633835
2016-01-02 07:45,142.63,0.035657581
2016-01-02 08:00,304.33,0.076082832
2016-01-02 08:15,316.91,0.079226997
2016-01-02 08:30,396.55,0.099138725
2016-01-02 08:45,410.06,0.102514854
2016-01-02 09:00,358.84,0.089709633
2016-01-02 09:15,192.96,0.048239014
2016-01-02 09:30,273.61,0.068402695
2016-01-02 09:45,238.00,0.059499729
2016-01-02 10:00,202.59,0.050647972
2016-01-02 10:15,2354.78,0.588694946
2016-01-02 10:30,196.39,0.04909761
2016-01-02 10:45,307.78,0.076946243
2016-01-02 11:00,312.38,0.078093849
2016-01-02 11:15,261.42,0.065353798
2016-01-02 11:30,219.38,0.054844612
2016-01-02 11:45,2332.08,0.583019714
2016-01-02 12:00,200.58,0.05014402
2016-01-02 12:15,154.70,0.038675003
2016-01-02 12:30,148.11,0.037027538
2016-01-02 12:45,149.57,0.037393036
2016-01-02 13:00,263.83,0.065957741
2016-01-02 13:15,223.67,0.055917332
2016-01-02 13:30,177.45,0.044361347
2016-01-02 13:45,167.94,0.041984108
2016-01-02 14:00,217.04,0.054258865
2016-01-02 14:15,256.84,0.064210548
2016-01-02 14:30,2412.94,0.603234619
2016-01-02 14:45,436.22,0.109056038
2016-01-02 15:00,412.67,0.103166275
2016-01-02 15:15,440.32,0.110079102
2016-01-02 15:30,574.65,0.143663055
2016-01-02 15:45,467.22,0.116804108
2016-01-02 16:00,355.53,0.088882034
2016-01-02 16:15,441.97,0.110491425
2016-01-02 16:30,223.90,0.055975777
2016-01-02 16:45,293.00,0.073249557
2016-01-02 17:00,288.19,0.072047684
2016-01-02 17:15,833.98,0.208495651
2016-01-02 17:30,916.61,0.22915329
2016-01-02 17:45,1120.64,0.280159698
2016-01-02 18:00,1083.94,0.270985107
2016-01-02 18:15,915.29,0.228823502
2016-01-02 18:30,2888.07,0.722016907
2016-01-02 18:45,1120.05,0.280012146
2016-01-02 19:00,850.65,0.212663422
2016-01-02 19:15,908.14,0.22703479
2016-01-02 19:30,833.72,0.208430115
2016-01-02 19:45,922.15,0.23053801
2016-01-02 20:00,244.06,0.061015282
2016-01-02 20:15,967.23,0.241806976
2016-01-02 20:30,441.99,0.110497864
2016-01-02 20:45,410.56,0.102640572
2016-01-02 21:00,2473.18,0.618295166
2016-01-02 21:15,382.80,0.095699715
2016-01-02 21:30,482.07,0.120517448
2016-01-02 21:45,566.16,0.141539703
2016-01-02 22:00,529.64,0.132410492
2016-01-02 22:15,473.44,0.118360504
2016-01-02 22:30,432.22,0.108055893
2016-01-02 22:45,520.25,0.130062515
2016-01-02 23:00,508.87,0.127217407
2016-01-02 23:15,406.90,0.101725983
2016-01-02 23:30,408.99,0.102246353
2016-01-02 23:45,401.89,0.100472351
2016-01-03 00:00,473.79,0.118447617
2016-01-03 00:15,510.89,0.127723572
2016-01-03 00:30,496.66,0.124165291
2016-01-03 00:45,428.33,0.107082443
2016-01-03 01:00,428.24,0.107059464
2016-01-03 01:15,467.14,0.116785339
2016-01-03 01:30,523.67,0.130917236
2016-01-03 01:45,370.21,0.092552109
2016-01-03 02:00,399.08,0.099769981
2016-01-03 02:15,362.53,0.090632767
2016-01-03 02:30,403.42,0.10085463
2016-01-03 02:45,440.64,0.110161026
2016-01-03 03:00,292.07,0.073018707
2016-01-03 03:15,290.71,0.072677704
2016-01-03 03:30,291.34,0.072834145
2016-01-03 03:45,372.82,0.093205482
2016-01-03 04:00,374.04,0.093509338
2016-01-03 04:15,326.99,0.081748291
2016-01-03 04:30,324.27,0.081068672
2016-01-03 04:45,326.78,0.081694702
2016-01-03 05:00,416.85,0.104211586
2016-01-03 05:15,365.71,0.091427338
2016-01-03 05:30,290.60,0.072651184
2016-01-03 05:45,292.20,0.073050056
2016-01-03 06:00,287.55,0.071886948
2016-01-03 06:15,406.77,0.10169339
